Sample,Total length,Segment,Width,Colour,dwt mg
82A-4.0,7.7,2,W,A,3.7
82A-4.0,7.7,3,W,A,5.2
82A-4.0,7.7,4,W,A,4.5
82A-4.0,7.7,5,W,B,3.3
82A-4.0,7.7,6,W,B,4.2
82A-4.0,7.7,7,W,B,2.3
82A-4.0,8.5,1,W,A,3.2
82A-4.0,8.5,2,W,A,5.3
82A-4.0,8.5,3,W,A,4.7
82A-4.0,8.5,4,W,A,4
82A-4.0,8.5,5,W,A,4.4
82A-4.0,8.5,6,W,B,2.5
82A-4.0,8.5,7,W,A,4
82A-4.0,8.5,8,W,B,3.8
82A-1.1,5.7,1,N,A,2.6
82A-1.1,5.7,2,W,A,2.9
82A-1.1,5.7,3,W,A,3.5
82A-1.1,5.7,4,W,A,3.7
82A-1.1,5.7,5,W,B,2.5
82A-1.1,5.6,1,N,A,2.6
82A-1.1,5.6,2,W,A,3.6
82A-1.1,5.6,3,W,A,4.9
82A-1.1,5.6,4,W,B,4.7
82A-1.1,5.6,5,W,B,3.3
82A-1.1,9.7,1,W,A,3.3
82A-1.1,9.7,2,W,A,6.2
82A-1.1,9.7,3,W,A,4.1
82A-1.1,9.7,4,W,A,4.8
82A-1.1,9.7,5,W,A,9.2
82A-1.1,9.7,6,W,A,7.4
82A-1.1,9.7,7,W,A,4.9
82A-1.1,9.7,8,W,B,3.6
82A-1.1,9.7,9,W,B,3.5
82A-1.0,6.4,1,N,A,2.4
82A-1.0,6.4,2,W,A,4.5
82A-1.0,6.4,3,W,A,6.7
82A-1.0,6.4,4,W,A,3.7
82A-1.0,6.4,5,W,A,3.8
82A-1.0,6.4,6,W,B,2.1
82A-1.0,5.7,1,N,A,2.8
82A-1.0,5.7,2,W,A,5.9
82A-1.0,5.7,3,W,A,4.7
82A-1.0,5.7,4,W,A,3.6
82A-1.0,5.7,5,W,A,5
82A-1.0,6.3,1,N,A,1.8
82A-1.0,6.3,2,W,A,3.1
82A-1.0,6.3,3,W,A,3.3
82A-1.0,6.3,4,W,A,2.4
82A-1.0,6.3,5,W,B,1.9
82A-1.0,6.3,6,W,B,1.8
82C-4.1,8.2,1,W,A,2.9
82C-4.1,8.2,2,W,A,4.1
82C-4.1,8.2,3,W,A,5.9
82C-4.1,8.2,4,W,A,5.2
82C-4.1,8.2,5,W,A,4.5
82C-4.1,8.2,6,W,A,3.7
82C-4.1,8.2,7,W,A,2.5
82C-4.1,8.2,8,N,A,2.1
82C-4.1,4.6,1,N,A,1.8
82C-4.1,4.6,2,W,A,1.8
82C-4.1,4.6,3,W,A,1.3
82C-4.1,4.6,4,W,A,1.4
82C-4.1,4.5,1,N,A,3.2
82C-4.1,4.5,2,W,A,3.2
82C-4.1,4.5,3,W,A,4.9
82C-4.1,4.5,4,W,A,3.1
82C-4.0,6.3,1,N,A,2
82C-4.0,6.3,2,W,A,3.6
82C-4.0,6.3,3,W,A,4.8
82C-4.0,6.3,4,W,A,4.5
82C-4.0,6.3,5,W,A,3.5
82C-4.0,6.3,6,W,A,5.2
82C-4.0,8.6,1,N,A,1.7
82C-4.0,8.6,2,W,A,6.9
82C-4.0,8.6,3,W,A,7.1
82C-4.0,8.6,4,W,A,5.8
82C-4.0,8.6,5,W,A,5.6
82C-4.0,8.6,6,W,A,5.5
82C-4.0,8.6,7,W,A,4.4
82C-4.0,8.6,8,N,A,2.2
82C-4.0,6.9,1,W,A,1.4
82C-4.0,6.9,2,W,A,4.3
82C-4.0,6.9,3,W,A,4.9
82C-4.0,6.9,4,W,A,6
82C-4.0,6.9,5,W,A,4.6
82C-4.0,6.9,6,W,A,4.8
82C-1.1,5.9,1,W,A,2.2
82C-1.1,5.9,2,W,A,2
82C-1.1,5.9,3,W,A,2.4
82C-1.1,5.9,4,W,A,3.3
82C-1.1,5.9,5,W,A,1.6
82C-1.1,7.4,1,W,A,2.1
82C-1.1,7.4,2,W,A,4.4
82C-1.1,7.4,3,W,A,3.6
82C-1.1,7.4,4,W,A,5.2
82C-1.1,7.4,5,W,A,6.1
82C-1.1,7.4,6,W,A,6.7
82C-1.1,7.4,7,W,A,4.1
82C-1.1,7.7,1,W,A,3.7
82C-1.1,7.7,2,W,A,3.3
82C-1.1,7.7,3,W,A,5.3
82C-1.1,7.7,4,W,A,5.8
82C-1.1,7.7,5,W,A,5.8
82C-1.1,7.7,6,W,A,6.3
82C-1.1,7.7,7,W,A,3.3
82C-1.0,4.8,1,W,A,2.3
82C-1.0,4.8,2,W,A,3.3
82C-1.0,4.8,3,W,A,3.3
82C-1.0,4.8,4,W,A,3.1
82C-1.0,5.4,1,W,A,4.2
82C-1.0,5.4,2,W,A,5.3
82C-1.0,5.4,3,W,A,9.7
82C-1.0,5.4,4,W,A,5.9
82C-1.0,5.4,5,W,A,4
82C-1.0,9.1,1,N,A,2.6
82C-1.0,9.1,2,W,A,4.8
82C-1.0,9.1,3,W,A,2.3
82C-1.0,9.1,4,W,A,2.4
82C-1.0,9.1,5,W,A,2.9
82C-1.0,9.1,6,W,A,6.4
82C-1.0,9.1,7,W,A,7.3
82C-1.0,9.1,8,W,A,6.7
82C-1.0,9.1,9,W,A,4.4
52A-4.1,10.8,1,N,A,3
52A-4.1,10.8,2,W,A,2.9
52A-4.1,10.8,3,W,A,3
52A-4.1,10.8,4,W,A,4.5
52A-4.1,10.8,5,W,A,3.4
52A-4.1,10.8,6,W,A,3.5
52A-4.1,10.8,7,W,A,3.3
52A-4.1,10.8,8,W,A,4.4
52A-4.1,10.8,9,W,A,2.8
52A-4.1,10.8,10,N,D,1
52A-4.1,7.8,1,W,A,3.4
52A-4.1,7.8,2,W,A,4
52A-4.1,7.8,3,W,A,5.9
52A-4.1,7.8,4,W,A,4.9
