Treatment,Block,t-point,Warming,Frag,pos,tin,Total WET,Total DRY,wwt,dwt,%H2O,Moisture Contents,Notes
54C-2.0,5,4,C,2,0,165.83,180.95,178.74,15.12,12.91,17.12
54C-2.1,5,4,C,2,1,166.37,265.50,180.93,99.13,14.56,580.84
54C-2.N,5,4,C,2,N,168.22,265.03,183.67,96.81,15.45,526.60
54C-2.W,5,4,C,2,W,164.68,236.09,178.72,71.41,14.04,408.62
54C-3.0,5,4,C,3,0,166.89,184.36,181.89,17.47,15.00,16.47
54C-3.1,5,4,C,3,1,164.64,277.41,182.37,112.77,17.73,536.04
54C-3.N,5,4,C,3,N,165.29,257.18,179.08,91.89,13.79,566.35
54C-3.E,5,4,C,3,E,165.93,245.87,179.65,79.94,13.72,482.65
54C-4.0,5,4,C,4,0,167.62,182.47,180.43,14.85,12.81,15.93
54C-4.1,5,4,C,4,1,166.62,289.23,180.74,122.61,14.12,768.34
54C-4.S,5,4,C,4,S,167.73,234.55,179.93,66.82,12.20,447.70
54C-4.E,5,4,C,4,E,164.74,184.54,176.25,19.80,11.51,72.02
64A-1.0,6,4,A,1,0,167.84,329.45,189.06,161.61,21.22,661.59
64A-1.1,6,4,A,1,1,166.99,314.75,188.28,147.76,21.29,594.03
64A-1.S,6,4,A,1,S,165.57,318.80,184.80,153.23,19.23,696.83
64A-1.E,6,4,A,1,E,166.06,348.83,196.88,182.77,30.82,493.02
64A-2.0,6,4,A,2,0,166.36,251.96,178.95,85.60,12.59,579.90
64A-2.1,6,4,A,2,1,164.75,288.78,181.88,124.03,17.13,624.05
64A-2.S,6,4,A,2,S,166.59,286.09,180.46,119.50,13.87,761.57
64A-2.W,6,4,A,2,W,167.56,281.96,185.12,114.40,17.56,551.48
64A-3.0,6,4,A,3,0,167.71,303.04,185.51,135.33,17.80,660.28
64A-3.1,6,4,A,3,1,166.33,274.68,180.69,108.35,14.36,654.53
64A-3.N,6,4,A,3,N,168.19,290.40,182.25,122.21,14.06,769.20
64A-3.E,6,4,A,3,E,165.90,298.28,183.77,132.38,17.87,640.79
64A-4.0,6,4,A,4,0,165.27,273.77,178.18,108.50,12.91,740.43
64A-4.1,6,4,A,4,1,164.61,301.43,180.96,136.82,16.35,736.82
64A-4.N,6,4,A,4,N,166.86,298.64,181.26,131.78,14.40,815.14
64A-4.W,6,4,A,4,W,164.66,288.89,180.28,124.23,15.62,695.33
64B-1.0,6,4,B,1,0,167.35,296.86,187.02,129.51,19.67,558.41
64B-1.1,6,4,B,1,1,164.99,321.26,183.09,156.27,18.10,763.37
64B-1.S,6,4,B,1,S,166.49,322.68,186.42,156.19,19.93,683.69
64B-1.W,6,4,B,1,W,166.45,329.30,187.38,162.85,20.93,678.07
64B-2.0,6,4,B,2,0,166.24,256.97,180.32,90.73,14.08,544.39
64B-2.1,6,4,B,2,1,166.60,300.78,184.62,134.18,18.02,644.62
64B-2.S,6,4,B,2,S,165.84,273.50,178.82,107.66,12.98,729.43
64B-2.E,6,4,B,2,E,166.58,262.14,181.14,95.56,14.56,556.32
64B-3.0,6,4,B,3,0,164.67,276.08,179.09,111.41,14.42,672.61
64B-3.1,6,4,B,3,1,164.36,311.14,184.98,146.78,20.62,611.83
64B-3.N,6,4,B,3,N,165.91,248.84,181.61,82.93,15.70,428.22
64B-3.W,6,4,B,3,W,165.56,242.45,182.85,76.89,17.29,344.71
64B-4.0,6,4,B,4,0,166.43,285.00,184.21,118.57,17.78,566.87
64B-4.1,6,4,B,4,1,166.97,298.74,187.45,131.77,20.48,543.41
64B-4.N,6,4,B,4,N,166.04,220.76,183.44,54.72,17.40,214.48
64B-4.E,6,4,B,4,E,167.84,221.91,179.61,54.07,11.77,359.39
64C-1.0,6,4,C,1,0,168.96,396.03,207.10,227.07,38.14,495.36
64C-1.1,6,4,C,1,1,164.55,379.76,197.31,215.21,32.76,556.93
64C-1.S,6,4,C,1,S,166.61,331.73,182.06,165.12,15.45,968.74
64C-1.E,6,4,C,1,E,165.82,329.24,187.47,163.42,21.65,654.83
64C-2.0,6,4,C,2,0,166.43,204.52,184.60,38.09,18.17,109.63
64C-2.1,6,4,C,2,1,164.66,260.18,175.56,95.52,10.90,776.33
64C-2.N,6,4,C,2,N,164.60,293.33,184.70,128.73,20.10,540.45
64C-2.E,6,4,C,2,E,166.90,231.50,182.01,64.60,15.11,327.53
64C-3.0,6,4,C,3,0,165.26,203.30,175.22,38.04,9.96,281.93
64C-3.1,6,4,C,3,1,165.87,280.09,179.50,114.22,13.63,738.00
64C-3.N,6,4,C,3,N,168.21,270.62,178.95,102.41,10.74,853.54
64C-3.W,6,4,C,3,W,166.30,250.26,176.40,83.96,10.10,731.29
64C-4.0,6,4,C,4,0,164.70,184.57,177.80,19.87,13.10,51.68
64C-4.1,6,4,C,4,1,167.69,300.70,179.52,133.01,11.83,1024.34
64C-4.S,6,4,C,4,S,167.53,252.35,179.66,84.82,12.13,599.26
64C-4.W,6,4,C,4,W,166.58,295.98,179.38,129.40,12.80,910.94
74A-1.0,7,4,A,1,0,165.80,310.94,193.26,145.14,27.46,428.55
74A-1.1,7,4,A,1,1,166.48,306.67,186.67,140.19,20.19,594.35
74A-1.S,7,4,A,1,S,166.59,320.52,192.70,153.93,26.11,489.54
74A-1.E,7,4,A,1,E,164.34,264.50,181.69,100.16,17.35,477.29
74A-2.0,7,4,A,2,0,165.00,228.98,180.16,63.98,15.16,322.03
74A-2.1,7,4,A,2,1,166.55,254.98,182.72,88.43,16.17,446.88
74A-2.N,7,4,A,2,N,166.23,243.40,181.55,77.17,15.32,403.72
74A-2.E,7,4,A,2,E,166.43,257.46,186.13,91.03,19.70,362.08
