"SampleID","Block","Time","Chamber","Frag","Pos","grow01","Prod01","notes01","grow12","Prod12","notes12","grow23","Prod23","notes23","mg.cm","mg.mm"
"74A-W.O","7","4","A","W","0",NA,NA,"",NA,NA,"broken?",0.91,NA,"broken",NA,NA
"74B-1.I","7","4","B","1","1",3.88,NA,"",1.76,NA,"curly",0.31,NA,"",NA,NA
"74B-1.O","7","4","B","1","0",1.35,NA,"",3.11,NA,"",2.29,NA,"",NA,NA
"74B-1.W","7","4","B","1","W",4.81,NA,"",1.59,NA,"",5.43,NA,"",NA,NA
"74B-2.c","7","4","B","2","c",3.03,NA,"",1.56,NA,"",2.3,NA,"",NA,NA
"74B-2.c2","7","4","B","2","c2",NA,NA,"",-0.94,NA,"",5.5,NA,"curly",NA,NA
"74B-2.I","7","4","B","2","1",2.7,NA,"",2.72,NA,"",2.87,NA,"",NA,NA
"74B-2.O","7","4","B","2","0",1.96,NA,"",2.69,NA,"",-1.35,NA,"dry + curly",NA,NA
"74B-2.W","7","4","B","2","W",NA,NA,"",2.82,NA,"",3.21,NA,"",NA,NA
"74B-3.c","7","4","B","3","c",3.1,NA,"",1.75,NA,"curly",2.78,NA,"",NA,NA
"74B-3.c2","7","4","B","3","c2",NA,NA,"",2.23,NA,"",3.56,NA,"",NA,NA
"74B-3.I","7","4","B","3","1",5.93,NA,"",2.81,NA,"curly",7.22,NA,"",NA,NA
"74B-3.O","7","4","B","3","0",-2.99,NA,"broke (new length = t1.1)",-0.87,NA,"broken",0.58,NA,"loose, broken? Bushy",NA,NA
"74B-3.S","7","4","B","3","S",NA,NA,"",-5.69,NA,"curly!",NA,NA,"broken",NA,NA
"74B-4.I","7","4","B","4","1",9.06,NA,"broke (new length = t1.1)",NA,NA,"broken - new curly",3.44,NA,"",NA,NA
"74B-4.N","7","4","B","4","N",11.23,NA,"",-5.47,NA,"curly",0.98,NA,"",NA,NA
"74B-4.O","7","4","B","4","0",5.5,NA,"",5.29,NA,"",3.28,NA,"",NA,NA
"74B-E.I","7","4","B","E","1",NA,NA,"",2.07,NA,"curly",3.09,NA,"",NA,NA
"74B-E.O","7","4","B","E","0",NA,NA,"",-0.54,NA,"dry",1.61,NA,"",NA,NA
"74B-N.I","7","4","B","N","1",NA,NA,"",0.18,NA,"",5.69,NA,"",NA,NA
